handle	text
HillaryClinton	"""We can build on a strong progressive tradition from Franklin Roosevelt to Barack Obama."" —Hillary"
HillaryClinton	"""We all agree that wages are too low and inequality is too high. That Wall Street can never again be allowed to threaten Main Street."""
HillaryClinton	"Civil rights &amp; voting rights.
Worker’s rights &amp; women’s rights.
LGBT rights and rights for people with disabilities.

Let's defend them all."
HillaryClinton	"“If fighting for women’s health care and paid family leave and equal pay is playing the ‘woman card,’ then deal me in.” —Hillary"
HillaryClinton	"“Imagine a tomorrow where instead of building walls, we’re breaking down barriers.” —Hillary https://t.co/kqfIpgS6NV"
HillaryClinton	"""Imagine a tomorrow where...love trumps hate.” —Hillary"
HillaryClinton	"""Let’s go forward. Let’s win the nomination."" —Hillary https://t.co/NNXa1Us7rf https://t.co/U80iCEa3Fi"
HillaryClinton	"Thanks to you, victory is in sight. Pitch in $1, and let's go win this nomination: https://t.co/CuTsRc8HKK"
HillaryClinton	Text IMWITHHER to 47246 to tell Hillary you've got her back. https://t.co/AH3mpkZsSs
HillaryClinton	"Thank you, Connecticut. https://t.co/dEF36fIGyu"
HillaryClinton	"Imagine a tomorrow where hard work is honored, families are supported, communities are strong, and love trumps hate.
https://t.co/PaSVdd4MH6"
HillaryClinton	"Caught your speech, @realDonaldTrump. About that ""woman's card""...
https://t.co/kKaHWISchy"
HillaryClinton	"""That is how progress gets made: We have to be both dreamers and doers."" —Hillary last night in PA https://t.co/F03zCH304S"
HillaryClinton	"Fighting for women's health care, equal pay, and paid leave.
Or as Donald Trump says, playing the ""woman's card.""
https://t.co/Ask6loAOFO"
HillaryClinton	"Civil rights and voting rights.
Workers’ rights and women’s rights.

Let's defend them all.
https://t.co/7oSXoIynpr"
HillaryClinton	Donald Trump's anti-Muslim rhetoric goes against everything we stand for. https://t.co/w4lmEdMPAv
HillaryClinton	"After a week of reports that Trump would change his tone heading into the general election, once again he's letting his true colors show."
HillaryClinton	"Last night, the ""#womancard."" This morning, Trump said he ""hasn't recovered"" from Hillary's ""shouting."" Really? https://t.co/wOXffrFuN2"
HillaryClinton	"They might make flashy headlines, but Trump's comments aren't a joke. Hillary can handle these attacks. Millions of women shouldn't have to."
HillaryClinton	Women still face too many barriers—a president shouldn't be part of the problem. Comments like Trump's set us back.
HillaryClinton	Trump's rhetoric is just the beginning. He's dismissed equal pay. Wouldn't support paid family leave. Would defund Planned Parenthood.
HillaryClinton	"So if fighting for women is playing the #WomanCard, well... https://t.co/wUuidf8qoj"
HillaryClinton	"Donald Trump's foreign policy isn't just offensive, it's dangerous. https://t.co/iueuFgzGod https://t.co/7GVc6ihQPc"
HillaryClinton	Yikes. https://t.co/iueuFgzGod
HillaryClinton	The U.S. has 5% of the world's women but nearly 30% of its women prisoners. The consequences are devastating. https://t.co/9GPztYdNlF
HillaryClinton	"Turning away Muslims, pitting Americans against each other, inciting violence and chaos—these aren't our values.
https://t.co/6bJfM4KlzY"
HillaryClinton	"""Everything I say, I'm going to do, folks."" —@realDonaldTrump
https://t.co/NFyovQpH8v"
HillaryClinton	Capt. Kristen Griest is about to become the Army's first female infantry officer. Well done. https://t.co/mGDDZ9bTfI -H
HillaryClinton	"Candidate Trump opposes equal pay, paid leave, and Planned Parenthood.

President Trump? Same.
https://t.co/H85Ud5jyOe"
HillaryClinton	".@jimmyfallon: Does Donald Trump intimidate you?

Hillary: No. #TBT
https://t.co/mzRhO8uxmQ"
HillaryClinton	#TBT to 2008 when Hillary helped make emergency contraception available over the counter: https://t.co/w1mvZrP1b8
HillaryClinton	"Couldn't agree more, @PattyMurray. It's time for Republicans to address this threat: https://t.co/KjmWMDOgDl -H https://t.co/NTkJrVvMql"
HillaryClinton	Fact: Donald Trump said women should be punished for seeking an abortion. https://t.co/DhqWE2LNEF
HillaryClinton	Hate isn't an American value. https://t.co/lZJ8T0Xu3M
HillaryClinton	"If fighting for women is ""playing the #WomanCard,"" what card is Trump playing?
https://t.co/PRoFKATQAE"
HillaryClinton	Want one? Chip in now: https://t.co/7zG2HrebW3 #WomanCard https://t.co/tEnbvq5a9r
HillaryClinton	Conoce alguno de los logros de Hillary Clinton a través de los años. https://t.co/5paO4acL4C
HillaryClinton	"If you see bigotry, oppose it. If you see violence, condemn it. If you see a bully, stand up to him.
https://t.co/DGRScBIDnX"
HillaryClinton	What can we do to fight the Zika threat? Hillary answers on @Quora: https://t.co/VrPhfFKxRI
HillaryClinton	An entire deck of woman cards? Deal us in. https://t.co/W5AHQO70Br
HillaryClinton	"Get your own #WomanCard*: https://t.co/3DgpQSy3qb

*does not include a 21% discount on your purchases. https://t.co/2xiRyOws5F"
HillaryClinton	"Estas son las promesas de Trump. Así podría ser su presidencia….
https://t.co/EXZ6inYiLT"
HillaryClinton	Lower wages! No paid family leave! Limited access to health care! Just some of the perks of your #WomanCard: https://t.co/sgUC4iiCXr
HillaryClinton	"If you see a bully, stand up to him. https://t.co/qLDbRhK1W2"
HillaryClinton	"There's a lot more that unites us than divides us.
https://t.co/DLS4wsovcL"
HillaryClinton	"¿Crees que cuando sea presidenta, le van a pagar lo mismo que le pagarían si fuera un hombre?
https://t.co/ECFQYKscyO"
HillaryClinton	"The #WomanCard?

Fighting for women's rights is a card we'd play any day.
https://t.co/HWPpXei0xs"
HillaryClinton	If standing up for women is playing the #WomanCard... https://t.co/GySsJDludM
HillaryClinton	"Raise the minimum wage.
Ensure paid leave.
Protect union rights.

If we want to raise incomes, we have to stand with workers. #MayDay"
HillaryClinton	Donald Trump is closer than ever to clinching the GOP nomination. There's only one candidate who has more votes. https://t.co/LuVanujuKS
HillaryClinton	@potus Nice job last night. Aunt Hillary approves. #WHCD -H
HillaryClinton	"""She’s battle tested, she’s got a dirty uniform, and that’s who you want fighting for your kids’ future.” https://t.co/tQx1xcF3ew"
HillaryClinton	"This #APAHM, let's celebrate the tremendous contributions from Asian Americans &amp; Pacific Islanders to our country. https://t.co/QM2PQ07zWH"
HillaryClinton	Watch live: Hillary addresses the 61st annual @NAACP dinner in Detroit → https://t.co/iKTdZahKdp
HillaryClinton	“Let America ‘be that great strong land of love.’ That is more than poetry…that’s a prayer.” —Hillary quoting Langston Hughes
HillaryClinton	"“Race still plays a significant role in determining who gets ahead in America and who gets left behind."" —Hillary"
HillaryClinton	"""Something’s wrong when the median wealth for black families is just a tiny fraction of that for white families."" —Hillary"
HillaryClinton	“Something’s wrong when so many black parents are burying their children.” —Hillary https://t.co/Td78zygG7a
HillaryClinton	"We should be making it easier to vote, not harder. The attacks on voting rights have to end."
HillaryClinton	"Health care.
Education.
Criminal justice.
Equal pay.
Tackling racial injustice means tackling them all: https://t.co/8EsDQhjJgU"
HillaryClinton	"""Systemic racism, inter-generational poverty, gun violence—these aren’t somebody else’s problems. These are our problems."" —Hillary"
HillaryClinton	"""We cannot let Barack Obama’s legacy fall into Donald Trump’s hands."" —Hillary"
HillaryClinton	"""Let’s keep going together.
Let’s organize and mobilize.
Let’s make sure that love trumps hate."" —Hillary"
HillaryClinton	"If we're going to build strong communities and help our kids succeed, we need to respect working parents.
https://t.co/eUjn6mGJC6"
HillaryClinton	Puerto Rico faces an economic crisis. Continued inaction from Congress is irresponsible. We should act now: https://t.co/Jfb1VABBly -H
HillaryClinton	Hillary ha demostrado que ella es la única candidata preparada para enfrentarse a desafíos y lograr resultados. https://t.co/Qz1SBHe2fg
HillaryClinton	Paid family leave isn't a luxury. Families shouldn't have to choose between eating and caring for loved ones. https://t.co/CL68bNz1Af
HillaryClinton	Puerto Rico enfrenta una crisis económica y la persistente inacción del Congreso es irresponsable. Debemos actuar ya https://t.co/UkosCytiVq
HillaryClinton	"When we stand together against the other side's hateful words, we all rise.
https://t.co/UagcfYANnR"
HillaryClinton	"We can't let all the progress we've made under @POTUS be torn away by Donald Trump.

Let's move forward—together.
https://t.co/iROC5OYjN7"
HillaryClinton	"When it comes to love and kindness, @AndraDayMusic puts it best.
https://t.co/tN1crd3QbP"
HillaryClinton	"Hoosiers, head to the polls today. RT this if you’re voting for Hillary. https://t.co/1CClTdef0F"
HillaryClinton	Let's act on coal miner safety so people like Don Blankenship are held accountable for blatantly disregarding it. https://t.co/eyXdXpvTuH
HillaryClinton	"What kind of president would Leslie Knope be?
 
""Full speed ahead!""
https://t.co/p3Y7ww5z6i"
HillaryClinton	Live in Indiana? Go vote: Hillary needs you. Text WHERE to 47246 to find your polling place. https://t.co/sZqWV6DCfn
HillaryClinton	Watch live: Hillary’s speaking in Ohio on her plans to create jobs and grow our economy: https://t.co/GhQSsnQVdC https://t.co/vP08a4W0SR
HillaryClinton	"“There’s no question that the workers of Appalachia made America more prosperous and secure, and that legacy should be honored.” —Hillary"
HillaryClinton	"“Even if people don’t vote for me in November, I’m going to be for them and for you every single day.” https://t.co/PpHOgsErpy"
HillaryClinton	We’ll create more good-paying jobs by investing in locally-driven projects and infrastructure improvements. https://t.co/nW2JqXGZT9
HillaryClinton	"“Having a good job is about so much more than getting a paycheck. 

It’s about dignity and a sense of purpose."" —Hillary"
HillaryClinton	Revitalizing Appalachia means investing in education and training—from pre-K to college to vocational and retraining programs.
HillaryClinton	"“Drug abuse, alcohol abuse and suicide are all on the rise across Appalachia.” —Hillary

Her plan to address it: https://t.co/BE0OUgpvpV"
HillaryClinton	"“What is the other side offering? Unfortunately, it’s the same old trickle-down economics that failed us before.” —Hillary"
