"trend","symbol","n_period","l_period","date","target","pred_final_avg","pred_final"
"bullish","AAPL",2,1,2020-04-29,"No",0.0597799424742869,0
"bullish","AAPL",2,1,2020-04-30,"No",0.0806016081337344,0
"bullish","AAPL",2,1,2020-05-01,"Yes",0.11209746506504,0
"bullish","AAPL",2,1,2020-05-04,"Yes",0.089314950329926,0
"bullish","AAPL",2,1,2020-05-05,"No",0.0594486608324323,0
"bullish","AAPL",2,1,2020-05-06,"Yes",0.122190335959802,0
"bullish","AAPL",2,1,2020-05-07,"Yes",0.473123114791355,0
"bullish","AAPL",2,1,2020-05-08,"No",0.157022497487293,0
"bullish","AAPL",2,1,2020-05-11,"No",0.0815744722192603,0
"bullish","AAPL",2,1,2020-05-12,NA,0.0779442504254875,0
"bullish","AAPL",2,1,2020-05-13,NA,0.162840768069903,0
"bullish","AAPL",3,1,2020-01-03,"No",0.195226941050668,0
"bullish","AAPL",3,1,2020-01-06,"Yes",0.0710610391085115,0
"bullish","AAPL",3,1,2020-01-07,"Yes",0.181436164760948,0
"bullish","AAPL",3,1,2020-01-08,"Yes",0.0718994952073185,0
"bullish","AAPL",3,1,2020-01-09,"No",0.250051092311795,0
"bullish","AAPL",3,1,2020-01-10,"No",0.22151016037653,0
"bullish","AAPL",3,1,2020-01-13,"No",0.063561951587419,0
"bullish","AAPL",3,1,2020-01-14,"No",0.0833734378380864,0
"bullish","AAPL",3,1,2020-01-15,"No",0.200889028457922,0
"bullish","AAPL",3,1,2020-01-16,"No",0.174935029710711,0
"bullish","AAPL",3,1,2020-01-17,"No",0.095651704308354,0
"bullish","AAPL",3,1,2020-01-21,"No",0.125226369806903,0
"bullish","AAPL",3,1,2020-01-22,"No",0.18599094600125,0
"bullish","AAPL",3,1,2020-01-23,"No",0.207209562660641,0
"bullish","AAPL",3,1,2020-01-24,"No",0.387510973919561,0
"bullish","AAPL",3,1,2020-01-27,"Yes",0.423908752207806,0
"bullish","AAPL",3,1,2020-01-28,"No",0.202430227809614,0
"bullish","AAPL",3,1,2020-01-29,"No",0.439096006477641,0
"bullish","AAPL",3,1,2020-01-30,"No",0.610346647552365,1
"bullish","AAPL",3,1,2020-01-31,"Yes",0.860291228077698,1
"bullish","AAPL",3,1,2020-02-03,"Yes",0.252231525405511,0
"bullish","AAPL",3,1,2020-02-04,"No",0.173794200281805,0
"bullish","AAPL",3,1,2020-02-05,"No",0.303244169990364,0
"bullish","AAPL",3,1,2020-02-06,"No",0.214035738795575,0
"bullish","AAPL",3,1,2020-02-07,"No",0.161399318831449,0
"bullish","AAPL",3,1,2020-02-10,"No",0.0633824669671194,0
"bullish","AAPL",3,1,2020-02-11,"No",0.126902332388602,0
"bullish","AAPL",3,1,2020-02-12,"No",0.0778179411284636,0
"bullish","AAPL",3,1,2020-02-13,"No",0.124586292675124,0
"bullish","AAPL",3,1,2020-02-14,"No",0.0835164466288641,0
"bullish","AAPL",3,1,2020-02-18,"No",0.153961545691152,0
"bullish","AAPL",3,1,2020-02-19,"No",0.129536409229229,0
"bullish","AAPL",3,1,2020-02-20,"No",0.151224281347178,0
"bullish","AAPL",3,1,2020-02-21,"No",0.427246573808149,0
"bullish","AAPL",3,1,2020-02-24,"No",0.113355712356233,0
"bullish","AAPL",3,1,2020-02-25,"No",0.372063106377199,0
"bullish","AAPL",3,1,2020-02-26,"No",0.0606958838325055,0
"bullish","AAPL",3,1,2020-02-27,"Yes",0.431832780886321,0
"bullish","AAPL",3,1,2020-02-28,"Yes",0.129974468308581,0
"bullish","AAPL",3,1,2020-03-02,"No",0.469576607785184,0
"bullish","AAPL",3,1,2020-03-03,"No",0.484759233921311,0
"bullish","AAPL",3,1,2020-03-04,"No",0.455239682570422,0
"bullish","AAPL",3,1,2020-03-05,"No",0.57431199706297,1
"bullish","AAPL",3,1,2020-03-06,"No",0.0742703183400136,0
"bullish","AAPL",3,1,2020-03-09,"No",0.105753081520884,0
"bullish","AAPL",3,1,2020-03-10,"No",0.502078918427957,1
"bullish","AAPL",3,1,2020-03-11,"No",0.558235022525235,1
"bullish","AAPL",3,1,2020-03-12,"No",0.440069185046466,0
"bullish","AAPL",3,1,2020-03-13,"No",0.577604926996626,1
"bullish","AAPL",3,1,2020-03-16,"No",0.393054754618193,0
"bullish","AAPL",3,1,2020-03-17,"No",0.572996692093356,1
"bullish","AAPL",3,1,2020-03-18,"No",0.686574933904613,1
"bullish","AAPL",3,1,2020-03-19,"No",0.90819892271418,1
"bullish","AAPL",3,1,2020-03-20,"Yes",0.894197065895622,1
"bullish","AAPL",3,1,2020-03-23,"Yes",0.901126407488074,1
"bullish","AAPL",3,1,2020-03-24,"No",0.916751634184044,1
"bullish","AAPL",3,1,2020-03-25,"Yes",0.90732412324578,1
"bullish","AAPL",3,1,2020-03-26,"No",0.891543590145197,1
"bullish","AAPL",3,1,2020-03-27,"No",0.91396355096894,1
"bullish","AAPL",3,1,2020-03-30,"No",0.902587928164123,1
"bullish","AAPL",3,1,2020-03-31,"No",0.913373668843093,1
"bullish","AAPL",3,1,2020-04-01,"Yes",0.908672976729138,1
"bullish","AAPL",3,1,2020-04-02,"Yes",0.835026159317969,1
"bullish","AAPL",3,1,2020-04-03,"Yes",0.891900389399141,1
"bullish","AAPL",3,1,2020-04-06,"No",0.929625728380229,1
"bullish","AAPL",3,1,2020-04-07,"Yes",0.849837247549325,1
"bullish","AAPL",3,1,2020-04-08,"Yes",0.137757718843368,0
"bullish","AAPL",3,1,2020-04-09,"Yes",0.591063047204646,1
"bullish","AAPL",3,1,2020-04-13,"Yes",0.0635248023510837,0
"bullish","AAPL",3,1,2020-04-14,"No",0.163349608249943,0
"bullish","AAPL",3,1,2020-04-15,"No",0.115255492257533,0
"bullish","AAPL",3,1,2020-04-16,"No",0.0900208445318698,0
"bullish","AAPL",3,1,2020-04-17,"No",0.331457808342636,0
"bullish","AAPL",3,1,2020-04-20,"No",0.723438691156387,1
"bullish","AAPL",3,1,2020-04-21,"Yes",0.837104712308054,1
"bullish","AAPL",3,1,2020-04-22,"No",0.185178355658831,0
"bullish","AAPL",3,1,2020-04-23,"No",0.605980426714298,1
"bullish","AAPL",3,1,2020-04-24,"No",0.077552657668282,0
"bullish","AAPL",3,1,2020-04-27,"Yes",0.0800033522221766,0
"bullish","AAPL",3,1,2020-04-28,"Yes",0.120819686387159,0
"bullish","AAPL",3,1,2020-04-29,"No",0.0701799812442704,0
"bullish","AAPL",3,1,2020-04-30,"No",0.0498888674467531,0
"bullish","AAPL",3,1,2020-05-01,"Yes",0.0890617554544823,0
"bullish","AAPL",3,1,2020-05-04,"Yes",0.0479326670284916,0
"bullish","AAPL",3,1,2020-05-05,"Yes",0.0498087020394377,0
"bullish","AAPL",3,1,2020-05-06,"Yes",0.0806246607981381,0
"bullish","AAPL",3,1,2020-05-07,"No",0.0797876236179932,0
"bullish","AAPL",3,1,2020-05-08,"No",0.0562500123603282,0
"bullish","AAPL",3,1,2020-05-11,NA,0.10214859407482,0
"bullish","AAPL",3,1,2020-05-12,NA,0.0714395974051554,0
"bullish","AAPL",3,1,2020-05-13,NA,0.345334249462824,0
"bullish","AAPL",4,1,2020-01-03,"Yes",0.0677247672538071,0
"bullish","AAPL",4,1,2020-01-06,"Yes",0.0592204969276242,0
"bullish","AAPL",4,1,2020-01-07,"Yes",0.101672336828565,0
"bullish","AAPL",4,1,2020-01-08,"No",0.0670034318616387,0
"bullish","AAPL",4,1,2020-01-09,"No",0.12402841538423,0
"bullish","AAPL",4,1,2020-01-10,"No",0.136536432323213,0
"bullish","AAPL",4,1,2020-01-13,"No",0.0764219845329413,0
"bullish","AAPL",4,1,2020-01-14,"No",0.0730412033494596,0
"bullish","AAPL",4,1,2020-01-15,"No",0.100224887688936,0
"bullish","AAPL",4,1,2020-01-16,"No",0.146650372768656,0
