"trend","symbol","n_period","l_period","trainMethod","term","class","estimate","conf.low","conf.high","p.value"
"bullish","AAPL",3,1,"glm","recall","Yes",0.212121212121212,NA,NA,NA
"bullish","AAPL",3,1,"glm","f1","Yes",0.318181818181818,NA,NA,NA
"bullish","AAPL",3,1,"glm","prevalence","Yes",0.297297297297297,NA,NA,NA
"bullish","AAPL",3,1,"glm","detection_rate","Yes",0.0630630630630631,NA,NA,NA
"bullish","AAPL",3,1,"glm","detection_prevalence","Yes",0.0990990990990991,NA,NA,NA
"bullish","AAPL",3,1,"glm","balanced_accuracy","Yes",0.58041958041958,NA,NA,NA
"bullish","AAPL",3,1,"nb","accuracy",NA,0.702702702702703,0.608539479183142,0.785725217792317,0.546839657346034
"bullish","AAPL",3,1,"nb","kappa",NA,0.212765957446808,NA,NA,0.0817227522986591
"bullish","AAPL",3,1,"nb","sensitivity","Yes",0.333333333333333,NA,NA,NA
"bullish","AAPL",3,1,"nb","specificity","Yes",0.858974358974359,NA,NA,NA
"bullish","AAPL",3,1,"nb","pos_pred_value","Yes",0.5,NA,NA,NA
"bullish","AAPL",3,1,"nb","neg_pred_value","Yes",0.752808988764045,NA,NA,NA
"bullish","AAPL",3,1,"nb","precision","Yes",0.5,NA,NA,NA
"bullish","AAPL",3,1,"nb","recall","Yes",0.333333333333333,NA,NA,NA
"bullish","AAPL",3,1,"nb","f1","Yes",0.4,NA,NA,NA
"bullish","AAPL",3,1,"nb","prevalence","Yes",0.297297297297297,NA,NA,NA
"bullish","AAPL",3,1,"nb","detection_rate","Yes",0.0990990990990991,NA,NA,NA
"bullish","AAPL",3,1,"nb","detection_prevalence","Yes",0.198198198198198,NA,NA,NA
"bullish","AAPL",3,1,"nb","balanced_accuracy","Yes",0.596153846153846,NA,NA,NA
"bullish","AAPL",3,1,"gbm","accuracy",NA,0.810810810810811,0.725461406561712,0.878906946382042,0.00671616312423688
"bullish","AAPL",3,1,"gbm","kappa",NA,0.535008976660682,NA,NA,0.662520583540057
"bullish","AAPL",3,1,"gbm","sensitivity","Yes",0.636363636363636,NA,NA,NA
"bullish","AAPL",3,1,"gbm","specificity","Yes",0.884615384615385,NA,NA,NA
"bullish","AAPL",3,1,"gbm","pos_pred_value","Yes",0.7,NA,NA,NA
"bullish","AAPL",3,1,"gbm","neg_pred_value","Yes",0.851851851851852,NA,NA,NA
"bullish","AAPL",3,1,"gbm","precision","Yes",0.7,NA,NA,NA
"bullish","AAPL",3,1,"gbm","recall","Yes",0.636363636363636,NA,NA,NA
"bullish","AAPL",3,1,"gbm","f1","Yes",0.666666666666667,NA,NA,NA
"bullish","AAPL",3,1,"gbm","prevalence","Yes",0.297297297297297,NA,NA,NA
"bullish","AAPL",3,1,"gbm","detection_rate","Yes",0.189189189189189,NA,NA,NA
